2026-05-14 13:12:44 | INFO | execution_id=042f3974-4540-4cbe-a524-5fb822e59989 | Starting dimensional data pipeline for start_date=1996-01-01 and end_date=1998-12-31
2026-05-14 13:12:44 | INFO | execution_id=042f3974-4540-4cbe-a524-5fb822e59989 | Starting task=create_dimensional_database
2026-05-14 13:12:44 | INFO | execution_id=042f3974-4540-4cbe-a524-5fb822e59989 | Finished task=create_dimensional_database with result={'success': True, 'task': 'create_dimensional_database', 'error': None}
2026-05-14 13:12:44 | INFO | execution_id=042f3974-4540-4cbe-a524-5fb822e59989 | Starting task=create_staging_raw_tables
2026-05-14 13:12:44 | INFO | execution_id=042f3974-4540-4cbe-a524-5fb822e59989 | Finished task=create_staging_raw_tables with result={'success': True, 'task': 'create_staging_raw_tables', 'error': None}
2026-05-14 13:12:44 | INFO | execution_id=042f3974-4540-4cbe-a524-5fb822e59989 | Starting task=create_dimensional_tables
2026-05-14 13:12:45 | INFO | execution_id=042f3974-4540-4cbe-a524-5fb822e59989 | Finished task=create_dimensional_tables with result={'success': True, 'task': 'create_dimensional_tables', 'error': None}
2026-05-14 13:12:45 | INFO | execution_id=042f3974-4540-4cbe-a524-5fb822e59989 | Starting task=ingest_all_staging_raw_tables
2026-05-14 13:12:45 | INFO | execution_id=042f3974-4540-4cbe-a524-5fb822e59989 | Finished task=ingest_all_staging_raw_tables with result={'success': False, 'task': 'ingest_Customers', 'error': '(207, b"Invalid column name \'nan\'.DB-Lib error message 20018, severity 16:\\nGeneral SQL Server error: Check messages from the SQL Server\\n")', 'table': 'staging_raw_Customers'}
2026-05-14 13:12:45 | ERROR | execution_id=042f3974-4540-4cbe-a524-5fb822e59989 | Stopping pipeline after failed task=ingest_all_staging_raw_tables
2026-05-14 13:17:17 | INFO | execution_id=5c5a39d3-0f9d-4281-a41b-51a08ddd9ccf | Starting dimensional data pipeline for start_date=1996-01-01 and end_date=1998-12-31
2026-05-14 13:17:17 | INFO | execution_id=5c5a39d3-0f9d-4281-a41b-51a08ddd9ccf | Starting task=create_dimensional_database
2026-05-14 13:17:17 | INFO | execution_id=5c5a39d3-0f9d-4281-a41b-51a08ddd9ccf | Finished task=create_dimensional_database with result={'success': True, 'task': 'create_dimensional_database', 'error': None}
2026-05-14 13:17:17 | INFO | execution_id=5c5a39d3-0f9d-4281-a41b-51a08ddd9ccf | Starting task=create_staging_raw_tables
2026-05-14 13:17:17 | INFO | execution_id=5c5a39d3-0f9d-4281-a41b-51a08ddd9ccf | Finished task=create_staging_raw_tables with result={'success': True, 'task': 'create_staging_raw_tables', 'error': None}
